time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1620594000,0.1468,0.1568,0.1389,0.1548,49.81798062968716,51.55309330974124,NaN,NaN
1620680400,0.1548,0.1648,0.1468,0.1608,52.051119788139026,51.692341323528304,NaN,NaN
1620766800,0.1588,0.1748,0.1529,0.1708,55.59767554727745,52.16395109136034,NaN,NaN
1620853200,0.1549,0.1748,0.1529,0.1549,49.34771624260399,51.70303289028203,NaN,NaN
1620939600,0.1549,0.1649,0.147,0.147,46.54786491792415,50.897821553489585,NaN,NaN
1621198800,0.1511,0.1571,0.143,0.1551,49.699137388056336,49.832222588182006,NaN,NaN
1621285200,0.1471,0.1631,0.1471,0.1491,47.46679050303265,49.20426471719103,NaN,NaN
1621371600,0.1551,0.1612,0.1411,0.1612,52.13597318652707,49.06311068885423,NaN,NaN
1621458000,0.1592,0.1632,0.1451,0.1451,46.246084477246804,48.57317204561452,NaN,NaN
1621544400,0.1512,0.1594,0.1431,0.1553,50.09281412882714,49.06003944585221,NaN,NaN
1621803600,0.153,0.157,0.151,0.153,49.23718197416356,48.97998687232412,NaN,NaN
1621890000,0.151,0.155,0.143,0.143,45.59092775981374,49.29053915559577,NaN,NaN
1621976400,0.141,0.145,0.139,0.145,46.445142967027806,49.073122990143055,NaN,NaN
1622062800,0.148,0.152,0.145,0.145,46.4451429670278,49.05153946266819,NaN,NaN
1622149200,0.145,0.152,0.139,0.143,45.61458664457561,48.75129703516022,NaN,NaN
1622408400,0.140674,0.148513,0.140674,0.148513,48.356100781024836,48.48736710608063,NaN,NaN
1622494800,0.148513,0.151,0.145,0.147,47.646241407186224,47.91940752464554,NaN,NaN
1622581200,0.147,0.151,0.143,0.147,47.646241407186224,47.79787360783,NaN,NaN
1622667600,0.149,0.16,0.147,0.16,54.32738380296339,48.35355352818994,NaN,NaN
1622754000,0.16,0.165,0.145,0.149,48.66786890284722,48.279891493532155,NaN,NaN
1623013200,0.153,0.157,0.151,0.157,52.54016555072905,48.64227542551047,NaN,NaN
1623099600,0.157,0.159,0.151,0.155,51.494329931992084,48.596443764472255,NaN,NaN
1623186000,0.155,0.159,0.147,0.157,52.51230643129472,49.04403104690425,NaN,NaN
1623272400,0.157,0.165,0.145,0.147,47.1806313011009,48.83601798778095,NaN,NaN
1623358800,0.147,0.153,0.145,0.149,48.31098795678944,48.769861272254225,NaN,NaN
1623618000,0.153,0.163,0.151,0.161,54.59023383193156,49.412668848834066,NaN,NaN
1623704400,0.163,0.167,0.157,0.163,55.55923481716908,50.06367540955845,NaN,NaN
1623790800,0.163,0.211,0.159,0.209,70.92622693903722,51.81232426470198,NaN,NaN
